name,email,password,phone_number,nid,role
Karim1023,karim102345@gmail.com,4821,01748273645,729384651,Agent
Hasan584,hasan58420@yahoo.com,1937,01849372651,618273945,Agent
Omar295,omar295814@outlook.com,7643,01928374659,837261945,Agent
Salahin774,salahin774302@gmail.com,5281,01528374650,472918365,Agent
Yusuf631,yusuf631908@hotmail.com,3179,01628374658,918273645,Agent
Abdullah492,abdullah492117@gmail.com,9842,01738465927,728364951,Customer
Ibrahim873,ibrahim87356@yahoo.com,6521,01873649251,637291845,Customer
Mahmud205,mahmud205841@outlook.com,4397,01928374612,829374165,Customer
Faruk918,faruk918274@gmail.com,5716,01649283745,938271645,Customer
Noman341,noman341672@hotmail.com,2468,01728374659,182736495,Customer
Hussain763,hussain763109@gmail.com,7953,01837465928,736492185,Agent
Khalid852,khalid852430@yahoo.com,1347,01928374651,827364951,Agent
Rahman947,rahman947216@gmail.com,6825,01628374659,918273465,Customer
Hasan311,hasan311478@outlook.com,9731,01749283645,627384951,Customer
Omar120,omar120839@hotmail.com,4527,01873649251,738291645,Customer
